Problem Size,sum_direct,sum_indirect,sum_vector
8388608,13981.01333,1171.593296,3495.253333
16777216,14098.50084,479.7602516,3631.432035
33554432,13981.01333,382.473863,3740.739353
67108864,14039.5113,350.8318164,3865.717972
134217728,14039.5113,365.4121997,4023.313189
268435456,18745.49274,132.2355176,4056.141674
