Problem Size,sum_direct,sum_indirect,sum_vector
8388608,0,0.045765363,0.136533333
16777216,0,0.018740635,0.141852814
33554432,0,0.014940385,0.146122631
67108864,0,0.013704368,0.151004608
134217728,0,0.014273914,0.157160671
268435456,0,0.00516545,0.158443034
